method,dataset,rep,clones,beta,lambdaE,N,pNormal,lambdaDelta,focal,mean_library_size,mean_allelic_coverage,phase_switch,wgd,doublet,hscn_error,tcn_mse,clone_ari,clone_nmi,loh_f1,loh_precision,loh_recall,msr,breakpoint_f1,breakpoint_precision,breakpoint_recall,nrf_distance,tree_coverage,cell_node_match_accuracy,retention_rate
Alleloscope,wgd_0_rep45,45,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.3007,NA,0.9551,NA,0.6778,0.743,0.6232,NA,NA,NA,NA,NA,NA,NA,0.625
Alleloscope,wgd_0_rep46,46,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,0.0,0.0,0.2311,NA,0.914,NA,0.404,0.6311,0.2971,NA,NA,NA,NA,NA,NA,NA,0.65
Alleloscope,wgd_1_rep42,42,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,1.0,0.0,0.8022,NA,0.8402,NA,0.5689,0.7006,0.4789,NA,NA,NA,NA,NA,NA,NA,0.605
Alleloscope,wgd_1_rep43,43,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,1.0,0.0,1.143,NA,0.6651,NA,0.1641,0.5,0.0982,NA,NA,NA,NA,NA,NA,NA,0.62
Alleloscope,wgd_1_rep44,44,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,1.0,0.0,1.5281,NA,0.7684,NA,0.4196,0.453,0.3908,NA,NA,NA,NA,NA,NA,NA,0.6
Alleloscope,wgd_1_rep45,45,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,1.0,0.0,1.2843,NA,0.9398,NA,0.6037,0.7672,0.4976,NA,NA,NA,NA,NA,NA,NA,0.6
Alleloscope,wgd_1_rep46,46,4,0.5,40.0,200,0.1,2.0,0.7,100.0,0.2,0.01,1.0,0.0,1.3011,NA,0.7693,NA,0.1482,0.5625,0.0854,NA,NA,NA,NA,NA,NA,NA,0.625
SCICoNE,amplitude_1_0_rep42,42,4,0.5,40.0,200,0.1,1.0,0.7,100.0,0.2,0.01,0.0,0.0,NA,0.07263157894736842,0.8560425234597995,0.9194647984636939,NA,NA,NA,NA,0.4873096446700507,0.39344262295081966,0.64,NA,NA,NA,NA
SCICoNE,amplitude_1_0_rep43,43,4,0.5,40.0,200,0.1,1.0,0.7,100.0,0.2,0.01,0.0,0.0,NA,0.05747058823529412,0.7514114718569395,0.864471436424403,NA,NA,NA,NA,0.4918032786885245,0.375,0.7142857142857143,NA,NA,NA,NA
SCICoNE,amplitude_1_0_rep44,44,4,0.5,40.0,200,0.1,1.0,0.7,100.0,0.2,0.01,0.0,0.0,NA,0.33092307692307693,1.0,1.0,NA,NA,NA,NA,0.3745019920318725,0.25133689839572193,0.734375,NA,NA,NA,NA
