tool,dataset,breakpoint_f1,clone_ari,hscn_error,loh_f1,msr,nrf_distance,tcn_mse,tree_coverage
CONET,amplitude_1_0_rep43,0.39622641509433965,,,,,0.375,,1.0
CONET,amplitude_1_0_rep44,0.48837209302325585,,,,,0.25,,0.6
CONET,amplitude_1_0_rep45,0.336,,,,,0.375,,1.0
CONET,amplitude_1_0_rep46,0.46153846153846156,,,,,0.25,,1.0
CONET,amplitude_4_0_rep42,0.3684210526315789,,,,,0.25,,1.0
CONET,amplitude_4_0_rep43,0.3652173913043478,,,,,0.375,,1.0
CONET,amplitude_4_0_rep44,0.40776699029126207,,,,,0.375,,1.0
CONET,amplitude_4_0_rep45,0.37168141592920356,,,,,0.625,,1.0
CONET,amplitude_4_0_rep46,0.43298969072164956,,,,,0.25,,1.0
CONET,beta_0_1_rep42,0.49411764705882355,,,,,0.375,,1.0
CONET,beta_0_1_rep43,0.4285714285714286,,,,,0.375,,1.0
CONET,beta_0_1_rep44,0.45652173913043476,,,,,0.375,,1.0
CONET,beta_0_1_rep45,0.39622641509433965,,,,,0.375,,1.0
CONET,beta_0_1_rep46,0.5121951219512195,,,,,0.375,,0.6
CONET,beta_0_3_rep42,0.49411764705882355,,,,,0.25,,1.0
CONET,beta_0_3_rep43,0.4285714285714286,,,,,0.375,,1.0
CONET,beta_0_3_rep44,0.45652173913043476,,,,,0.375,,1.0
CONET,beta_0_3_rep45,0.39622641509433965,,,,,0.375,,0.8
CONET,beta_0_3_rep46,0.5121951219512195,,,,,0.375,,0.6
CONET,beta_0_5_rep42,0.49411764705882355,,,,,0.25,,1.0
CONET,beta_0_5_rep43,0.4285714285714286,,,,,0.25,,0.8
CONET,beta_0_5_rep44,0.45652173913043476,,,,,0.25,,0.6
CONET,beta_0_5_rep45,0.39622641509433965,,,,,0.3333333333333333,,1.0
CONET,beta_0_5_rep46,0.5121951219512195,,,,,0.25,,0.4
CONET,cells_500_rep42,0.42,,,,,0.25,,1.0
CONET,cells_500_rep43,0.3925233644859813,,,,,0.25,,1.0
CONET,cells_500_rep44,0.3925233644859813,,,,,0.375,,1.0
CONET,cells_500_rep45,0.47727272727272724,,,,,0.375,,1.0
CONET,cells_500_rep46,0.47727272727272724,,,,,0.25,,1.0
CONET,cells_50_rep42,0.42,,,,,0.375,,0.4
CONET,cells_50_rep43,0.3925233644859813,,,,,0.375,,1.0
CONET,cells_50_rep44,0.3925233644859813,,,,,0.5,,0.6
CONET,cells_50_rep45,0.47727272727272724,,,,,0.5,,0.75
CONET,cells_50_rep46,0.47727272727272724,,,,,0.5,,0.8
CONET,clone_2_rep42,0.5,,,,,0.25,,1.0
CONET,clone_2_rep43,0.5316455696202531,,,,,0.25,,1.0
CONET,clone_2_rep44,0.031746031746031744,,,,,0.0,,0.6666666666666666
